call_number,cf1,fm1,fm2,cf2,fm3,cf3,fm4
0,0.004504,0.001196,0.0023,,,,
1,0.004612,0.001068,0.00132,,,,
2,0.004604,0.001196,0.0022,,,,
3,0.004708,0.001068,0.001224,,,,
4,0.004752,0.001196,0.002052,,,,
5,0.00486,0.001068,0.001072,,,,
6,0.004792,0.001948,0.00226,,,,
7,0.004704,0.001948,0.001348,,,,
8,0.004916,0.001948,0.002136,,,,
9,0.004792,0.001948,0.00126,,,,
10,0.005096,0.001948,0.001956,,,,
11,0.004916,0.001948,0.001136,,,,
12,0.00448,0.00126,0.00226,,,,
13,0.004392,0.00126,0.001348,,,,
14,0.004604,0.00126,0.002136,,,,
15,0.00448,0.00126,0.00126,,,,
16,0.004784,0.00126,0.001956,,,,
17,0.004604,0.00126,0.001136,,,,
18,0.004608,0.002132,0.00226,,,,
19,0.00452,0.002132,0.001348,,,,
20,0.004732,0.002132,0.002136,,,,
21,0.004608,0.002132,0.00126,,,,
22,0.004912,0.002132,0.001956,,,,
23,0.004732,0.002132,0.001136,,,,
24,4e-06,0.001336,4e-06,0.004396,0.00226,,
25,4e-06,0.001336,4e-06,0.004308,0.001348,,
26,4e-06,0.001336,4e-06,0.00452,0.002136,,
27,4e-06,0.001336,4e-06,0.004396,0.00126,,
28,4e-06,0.001336,4e-06,0.0047,0.001956,,
29,4e-06,0.001336,4e-06,0.00452,0.001136,,
30,0.00448,0.00226,0.00226,,,,
31,0.004392,0.00226,0.001348,,,,
32,0.004604,0.00226,0.002136,,,,
33,0.00448,0.00226,0.00126,,,,
34,0.004784,0.00226,0.001956,,,,
35,0.004604,0.00226,0.001136,,,,
36,0.004844,0.000988,0.002168,,,,
37,0.00474,0.00098,0.00128,,,,
38,0.00502,0.000988,0.001992,,,,
39,0.004856,0.00098,0.001164,,,,
40,0.005264,0.000988,0.001748,,,,
41,0.005036,0.00098,0.000984,,,,
42,0.004988,0.001816,0.002196,,,,
43,0.00488,0.001816,0.001304,,,,
44,0.005144,0.001816,0.00204,,,,
45,0.004988,0.001816,0.001196,,,,
46,0.005364,0.001816,0.00182,,,,
47,0.005144,0.001816,0.00104,,,,
48,0.004612,0.001192,0.002196,,,,
49,0.004504,0.001192,0.001304,,,,
50,0.004768,0.001192,0.00204,,,,
51,0.004612,0.001192,0.001196,,,,
52,0.004988,0.001192,0.00182,,,,
53,0.004768,0.001192,0.00104,,,,
54,0.004768,0.002036,0.002196,,,,
55,0.00466,0.002036,0.001304,,,,
56,0.004924,0.002036,0.00204,,,,
57,0.004768,0.002036,0.001196,,,,
58,0.005144,0.002036,0.00182,,,,
59,0.004924,0.002036,0.00104,,,,
60,0.004504,0.0013,0.002196,,,,
61,0.004396,0.0013,0.001304,,,,
62,0.00466,0.0013,0.00204,,,,
63,0.004504,0.0013,0.001196,,,,
64,0.00488,0.0013,0.00182,,,,
65,0.00466,0.0013,0.00104,,,,
66,0.004608,0.002196,0.002196,,,,
67,0.0045,0.002196,0.001304,,,,
68,0.00476,0.002196,0.002044,,,,
69,0.004608,0.002196,0.001196,,,,
70,0.004984,0.002196,0.00182,,,,
71,0.00476,0.002196,0.001044,,,,
72,0.005024,0.000876,0.0021,,,,
73,0.004888,0.000872,0.00124,,,,
74,0.005244,0.000876,0.00188,,,,
75,0.005036,0.000872,0.001092,,,,
76,0.005528,0.000876,0.001596,,,,
77,0.005252,0.000872,0.000876,,,,
78,0.00522,0.001652,0.002128,,,,
79,0.005092,0.001652,0.001256,,,,
80,0.00542,0.001652,0.001928,,,,
81,0.00522,0.001652,0.001128,,,,
82,0.005692,0.001652,0.001656,,,,
83,0.00542,0.001652,0.000928,,,,
84,0.004748,0.001124,0.002128,,,,
85,0.00462,0.001124,0.001256,,,,
86,0.004948,0.001124,0.001928,,,,
87,0.004748,0.001124,0.001128,,,,
88,0.00522,0.001124,0.001656,,,,
89,0.004948,0.001124,0.000928,,,,
90,0.004948,0.001924,0.002128,,,,
91,0.00482,0.001924,0.001256,,,,
92,0.005148,0.001924,0.001928,,,,
93,0.004948,0.001924,0.001128,,,,
94,0.00542,0.001924,0.001656,,,,
95,0.005148,0.001924,0.000928,,,,
96,0.00462,0.001252,0.002128,,,,
97,0.004492,0.001252,0.001256,,,,
98,0.00482,0.001252,0.001928,,,,
99,0.00462,0.001252,0.001128,,,,
100,0.005092,0.001252,0.001656,,,,
101,0.00482,0.001252,0.000928,,,,
102,0.004748,0.002124,0.002128,,,,
103,0.00462,0.002124,0.001256,,,,
104,0.004948,0.002124,0.001928,,,,
105,0.004748,0.002124,0.001128,,,,
106,0.00522,0.002124,0.001656,,,,
107,0.004948,0.002124,0.000928,,,,
108,0.00954,0.001172,0.002288,,,,
