call_number,cf1,fm1,fm2,cf2
0,0.004882,0.001046,0.002072,
1,0.00483,0.001056,0.001114,
2,0.005122,0.001046,0.00176,7.2e-05
3,0.004832,0.001056,0.001112,
4,0.005192,0.001768,0.00204,
5,0.004962,0.001926,0.001112,
6,0.005366,0.001768,0.001866,
7,0.00504,0.001926,0.001034,
8,0.004802,0.001126,0.002072,
9,0.00476,0.001126,0.001114,
10,0.005042,0.001126,0.001832,
11,0.004762,0.001126,0.001112,
12,0.00493,0.00203,0.00204,
13,0.00488,0.002008,0.001112,
14,0.005104,0.00203,0.001866,
15,0.004958,0.002008,0.001034,
